-----VERIFICARE----- 5
Ora verificarii: 12/01/2023 12:55:07 am
Sold locatie 1: 0
---Treatment 1, max plannings: 3
10:00 am-10:20 am: 0 plannings
10:20 am-11:01 am: 1 plannings
11:01 am-11:34 am: 2 plannings
11:34 am-11:54 am: 3 plannings
11:54 am-12:20 pm: 4 plannings
12:20 pm-12:55 pm: 3 plannings
12:55 pm-1:01 pm: 4 plannings
1:01 pm-1:34 pm: 3 plannings
1:34 pm-1:54 pm: 2 plannings
1:54 pm-2:55 pm: 1 plannings
2:55 pm-2:58 pm: 0 plannings
2:58 pm-3:30 pm: 1 plannings
3:30 pm-3:55 pm: 2 plannings
3:55 pm-4:58 pm: 3 plannings
4:58 pm-5:30 pm: 2 plannings
5:30 pm-5:55 pm: 1 plannings
5:55 pm-6:00 pm: 0 plannings
---Treatment 2, max plannings: 1
10:00 am-10:46 am: 0 plannings
10:46 am-11:06 am: 1 plannings
11:06 am-1:26 pm: 0 plannings
1:26 pm-1:42 pm: 1 plannings
1:42 pm-1:46 pm: 2 plannings
1:46 pm-2:02 pm: 1 plannings
2:02 pm-2:18 pm: 0 plannings
2:18 pm-2:38 pm: 1 plannings
2:38 pm-3:00 pm: 0 plannings
3:00 pm-3:20 pm: 1 plannings
3:20 pm-6:00 pm: 0 plannings
---Treatment 3, max plannings: 1
10:00 am-11:00 am: 0 plannings
11:00 am-11:07 am: 1 plannings
11:07 am-11:30 am: 2 plannings
11:30 am-11:37 am: 1 plannings
11:37 am-11:55 am: 0 plannings
11:55 am-12:25 pm: 1 plannings
12:25 pm-1:08 pm: 0 plannings
1:08 pm-1:25 pm: 1 plannings
1:25 pm-1:38 pm: 2 plannings
1:38 pm-1:55 pm: 1 plannings
1:55 pm-3:42 pm: 0 plannings
3:42 pm-4:12 pm: 1 plannings
4:12 pm-6:00 pm: 0 plannings
---Treatment 4, max plannings: 2
10:00 am-10:07 am: 0 plannings
10:07 am-10:51 am: 1 plannings
10:51 am-11:07 am: 2 plannings
11:07 am-11:33 am: 1 plannings
11:33 am-11:51 am: 2 plannings
11:51 am-11:55 am: 1 plannings
11:55 am-12:33 pm: 2 plannings
12:33 pm-12:55 pm: 1 plannings
12:55 pm-1:08 pm: 0 plannings
1:08 pm-2:00 pm: 1 plannings
2:00 pm-2:08 pm: 2 plannings
2:08 pm-3:00 pm: 1 plannings
3:00 pm-6:00 pm: 0 plannings
---Treatment 5, max plannings: 1
10:00 am-10:10 am: 0 plannings
10:10 am-10:40 am: 1 plannings
10:40 am-10:48 am: 0 plannings
10:48 am-11:18 am: 1 plannings
11:18 am-11:59 am: 0 plannings
11:59 am-12:29 pm: 1 plannings
12:29 pm-1:19 pm: 0 plannings
1:19 pm-1:22 pm: 1 plannings
1:22 pm-1:49 pm: 2 plannings
1:49 pm-1:52 pm: 1 plannings
1:52 pm-2:04 pm: 0 plannings
2:04 pm-2:27 pm: 1 plannings
2:27 pm-2:34 pm: 2 plannings
2:34 pm-2:49 pm: 1 plannings
2:49 pm-2:57 pm: 2 plannings
2:57 pm-3:19 pm: 1 plannings
3:19 pm-6:00 pm: 0 plannings
Ora verificarii: 12/01/2023 12:55:07 am
Sold locatie 2: 0
---Treatment 1, max plannings: 3
10:00 am-10:10 am: 0 plannings
10:10 am-11:07 am: 1 plannings
11:07 am-12:10 pm: 2 plannings
12:10 pm-12:58 pm: 1 plannings
12:58 pm-1:07 pm: 2 plannings
1:07 pm-1:17 pm: 1 plannings
1:17 pm-2:44 pm: 2 plannings
2:44 pm-2:58 pm: 3 plannings
2:58 pm-3:13 pm: 2 plannings
3:13 pm-3:17 pm: 3 plannings
3:17 pm-3:21 pm: 2 plannings
3:21 pm-3:32 pm: 3 plannings
3:32 pm-4:44 pm: 4 plannings
4:44 pm-5:13 pm: 3 plannings
5:13 pm-5:21 pm: 2 plannings
5:21 pm-5:32 pm: 1 plannings
5:32 pm-6:00 pm: 0 plannings
---Treatment 2, max plannings: 1
10:00 am-10:06 am: 0 plannings
10:06 am-10:26 am: 1 plannings
10:26 am-11:58 am: 0 plannings
11:58 am-12:18 pm: 1 plannings
12:18 pm-12:27 pm: 0 plannings
12:27 pm-12:45 pm: 1 plannings
12:45 pm-12:47 pm: 2 plannings
12:47 pm-1:05 pm: 1 plannings
1:05 pm-2:37 pm: 0 plannings
2:37 pm-2:57 pm: 1 plannings
2:57 pm-3:26 pm: 0 plannings
3:26 pm-3:46 pm: 1 plannings
3:46 pm-6:00 pm: 0 plannings
---Treatment 3, max plannings: 1
10:00 am-10:44 am: 0 plannings
10:44 am-11:14 am: 1 plannings
11:14 am-11:41 am: 0 plannings
11:41 am-12:11 pm: 1 plannings
12:11 pm-12:43 pm: 0 plannings
12:43 pm-1:13 pm: 1 plannings
1:13 pm-1:52 pm: 0 plannings
1:52 pm-1:55 pm: 1 plannings
1:55 pm-2:22 pm: 2 plannings
2:22 pm-2:25 pm: 1 plannings
2:25 pm-2:34 pm: 0 plannings
2:34 pm-2:47 pm: 1 plannings
2:47 pm-3:04 pm: 2 plannings
3:04 pm-3:15 pm: 1 plannings
3:15 pm-3:17 pm: 2 plannings
3:17 pm-3:45 pm: 1 plannings
3:45 pm-3:50 pm: 0 plannings
3:50 pm-4:20 pm: 1 plannings
4:20 pm-6:00 pm: 0 plannings
---Treatment 4, max plannings: 2
10:00 am-10:05 am: 0 plannings
10:05 am-11:05 am: 1 plannings
11:05 am-11:27 am: 0 plannings
11:27 am-12:18 pm: 1 plannings
12:18 pm-12:27 pm: 2 plannings
12:27 pm-1:18 pm: 1 plannings
1:18 pm-2:23 pm: 0 plannings
2:23 pm-2:33 pm: 1 plannings
2:33 pm-2:42 pm: 2 plannings
2:42 pm-3:23 pm: 3 plannings
3:23 pm-3:31 pm: 2 plannings
3:31 pm-3:33 pm: 3 plannings
3:33 pm-3:42 pm: 2 plannings
3:42 pm-4:31 pm: 1 plannings
4:31 pm-6:00 pm: 0 plannings
---Treatment 5, max plannings: 1
10:00 am-10:08 am: 0 plannings
10:08 am-10:35 am: 1 plannings
10:35 am-10:38 am: 2 plannings
10:38 am-11:05 am: 1 plannings
11:05 am-11:34 am: 0 plannings
11:34 am-11:40 am: 1 plannings
11:40 am-12:04 pm: 2 plannings
12:04 pm-12:10 pm: 1 plannings
12:10 pm-12:22 pm: 0 plannings
12:22 pm-12:52 pm: 1 plannings
12:52 pm-1:01 pm: 0 plannings
1:01 pm-1:31 pm: 1 plannings
1:31 pm-1:48 pm: 0 plannings
1:48 pm-2:02 pm: 1 plannings
2:02 pm-2:18 pm: 2 plannings
2:18 pm-2:32 pm: 1 plannings
2:32 pm-6:00 pm: 0 plannings
Ora verificarii: 12/01/2023 12:55:07 am
Sold locatie 3: 0
---Treatment 1, max plannings: 6
10:00 am-11:23 am: 0 plannings
11:23 am-12:02 pm: 1 plannings
12:02 pm-12:13 pm: 2 plannings
12:13 pm-12:38 pm: 3 plannings
12:38 pm-12:52 pm: 4 plannings
12:52 pm-12:59 pm: 5 plannings
12:59 pm-1:05 pm: 6 plannings
1:05 pm-1:23 pm: 7 plannings
1:23 pm-1:49 pm: 6 plannings
1:49 pm-2:02 pm: 7 plannings
2:02 pm-2:13 pm: 6 plannings
2:13 pm-2:38 pm: 5 plannings
2:38 pm-2:48 pm: 4 plannings
2:48 pm-2:52 pm: 5 plannings
2:52 pm-2:59 pm: 4 plannings
2:59 pm-3:05 pm: 3 plannings
3:05 pm-3:20 pm: 2 plannings
3:20 pm-3:49 pm: 3 plannings
3:49 pm-4:48 pm: 2 plannings
4:48 pm-5:20 pm: 1 plannings
5:20 pm-6:00 pm: 0 plannings
---Treatment 2, max plannings: 2
10:00 am-10:50 am: 0 plannings
10:50 am-11:10 am: 1 plannings
11:10 am-12:54 pm: 0 plannings
12:54 pm-1:14 pm: 2 plannings
1:14 pm-1:26 pm: 0 plannings
1:26 pm-1:46 pm: 1 plannings
1:46 pm-6:00 pm: 0 plannings
---Treatment 3, max plannings: 2
10:00 am-10:04 am: 0 plannings
10:04 am-10:05 am: 1 plannings
10:05 am-10:34 am: 2 plannings
10:34 am-10:35 am: 1 plannings
10:35 am-11:34 am: 0 plannings
11:34 am-12:04 pm: 1 plannings
12:04 pm-12:46 pm: 0 plannings
12:46 pm-1:05 pm: 1 plannings
1:05 pm-1:16 pm: 2 plannings
1:16 pm-1:34 pm: 1 plannings
1:34 pm-1:35 pm: 2 plannings
1:35 pm-2:02 pm: 1 plannings
2:02 pm-2:04 pm: 2 plannings
2:04 pm-2:32 pm: 1 plannings
2:32 pm-3:48 pm: 0 plannings
3:48 pm-4:18 pm: 1 plannings
4:18 pm-6:00 pm: 0 plannings
---Treatment 4, max plannings: 4
10:00 am-10:16 am: 0 plannings
10:16 am-11:16 am: 1 plannings
11:16 am-11:23 am: 0 plannings
11:23 am-11:31 am: 1 plannings
11:31 am-11:38 am: 2 plannings
11:38 am-11:48 am: 3 plannings
11:48 am-12:09 pm: 4 plannings
12:09 pm-12:23 pm: 5 plannings
12:23 pm-12:31 pm: 4 plannings
12:31 pm-12:38 pm: 3 plannings
12:38 pm-12:48 pm: 2 plannings
12:48 pm-1:09 pm: 1 plannings
1:09 pm-1:34 pm: 0 plannings
1:34 pm-1:45 pm: 1 plannings
1:45 pm-1:49 pm: 2 plannings
1:49 pm-2:34 pm: 3 plannings
2:34 pm-2:45 pm: 2 plannings
2:45 pm-2:49 pm: 1 plannings
2:49 pm-2:55 pm: 0 plannings
2:55 pm-3:48 pm: 1 plannings
3:48 pm-3:55 pm: 2 plannings
3:55 pm-3:57 pm: 1 plannings
3:57 pm-4:48 pm: 2 plannings
4:48 pm-4:57 pm: 1 plannings
4:57 pm-6:00 pm: 0 plannings
---Treatment 5, max plannings: 2
10:00 am-10:34 am: 0 plannings
10:34 am-11:04 am: 1 plannings
11:04 am-11:21 am: 0 plannings
11:21 am-11:46 am: 1 plannings
11:46 am-11:51 am: 2 plannings
11:51 am-12:16 pm: 1 plannings
12:16 pm-12:18 pm: 0 plannings
12:18 pm-12:37 pm: 1 plannings
12:37 pm-12:48 pm: 2 plannings
12:48 pm-1:07 pm: 1 plannings
1:07 pm-1:37 pm: 2 plannings
1:37 pm-1:40 pm: 0 plannings
1:40 pm-1:49 pm: 1 plannings
1:49 pm-2:10 pm: 2 plannings
2:10 pm-2:15 pm: 1 plannings
2:15 pm-2:19 pm: 2 plannings
2:19 pm-2:45 pm: 1 plannings
2:45 pm-2:55 pm: 0 plannings
2:55 pm-3:25 pm: 1 plannings
3:25 pm-3:28 pm: 0 plannings
3:28 pm-3:38 pm: 1 plannings
3:38 pm-3:58 pm: 2 plannings
3:58 pm-4:08 pm: 1 plannings
4:08 pm-6:00 pm: 0 plannings
Ora verificarii: 12/01/2023 12:55:07 am
Sold locatie 4: 0
---Treatment 1, max plannings: 9
10:00 am-10:28 am: 0 plannings
10:28 am-10:41 am: 1 plannings
10:41 am-10:59 am: 2 plannings
10:59 am-12:28 pm: 3 plannings
12:28 pm-12:41 pm: 2 plannings
12:41 pm-12:59 pm: 1 plannings
12:59 pm-1:32 pm: 0 plannings
1:32 pm-1:57 pm: 1 plannings
1:57 pm-2:15 pm: 2 plannings
2:15 pm-3:32 pm: 3 plannings
3:32 pm-3:57 pm: 2 plannings
3:57 pm-4:15 pm: 1 plannings
4:15 pm-6:00 pm: 0 plannings
---Treatment 2, max plannings: 3
10:00 am-10:18 am: 0 plannings
10:18 am-10:38 am: 1 plannings
10:38 am-10:42 am: 0 plannings
10:42 am-11:02 am: 1 plannings
11:02 am-11:19 am: 0 plannings
11:19 am-11:37 am: 1 plannings
11:37 am-11:39 am: 2 plannings
11:39 am-11:57 am: 1 plannings
11:57 am-12:51 pm: 0 plannings
12:51 pm-12:55 pm: 1 plannings
12:55 pm-1:11 pm: 2 plannings
1:11 pm-1:15 pm: 1 plannings
1:15 pm-1:38 pm: 0 plannings
1:38 pm-1:42 pm: 1 plannings
1:42 pm-1:58 pm: 2 plannings
1:58 pm-2:02 pm: 1 plannings
2:02 pm-2:38 pm: 0 plannings
2:38 pm-2:58 pm: 1 plannings
2:58 pm-3:03 pm: 0 plannings
3:03 pm-3:04 pm: 1 plannings
3:04 pm-3:16 pm: 2 plannings
3:16 pm-3:23 pm: 3 plannings
3:23 pm-3:24 pm: 2 plannings
3:24 pm-3:27 pm: 1 plannings
3:27 pm-3:36 pm: 2 plannings
3:36 pm-3:47 pm: 1 plannings
3:47 pm-6:00 pm: 0 plannings
---Treatment 3, max plannings: 3
10:00 am-10:15 am: 0 plannings
10:15 am-10:28 am: 1 plannings
10:28 am-10:35 am: 2 plannings
10:35 am-10:45 am: 3 plannings
10:45 am-10:58 am: 2 plannings
10:58 am-11:05 am: 1 plannings
11:05 am-12:35 pm: 0 plannings
12:35 pm-12:45 pm: 1 plannings
12:45 pm-1:05 pm: 2 plannings
1:05 pm-1:15 pm: 1 plannings
1:15 pm-1:27 pm: 0 plannings
1:27 pm-1:37 pm: 1 plannings
1:37 pm-1:39 pm: 2 plannings
1:39 pm-1:57 pm: 3 plannings
1:57 pm-1:59 pm: 2 plannings
1:59 pm-2:07 pm: 3 plannings
2:07 pm-2:09 pm: 2 plannings
2:09 pm-2:29 pm: 1 plannings
2:29 pm-2:52 pm: 0 plannings
2:52 pm-3:16 pm: 1 plannings
3:16 pm-3:22 pm: 2 plannings
3:22 pm-3:46 pm: 1 plannings
3:46 pm-6:00 pm: 0 plannings
---Treatment 4, max plannings: 6
10:00 am-10:33 am: 0 plannings
10:33 am-10:35 am: 1 plannings
10:35 am-11:33 am: 3 plannings
11:33 am-11:35 am: 2 plannings
11:35 am-11:56 am: 0 plannings
11:56 am-12:05 pm: 1 plannings
12:05 pm-12:56 pm: 2 plannings
12:56 pm-1:05 pm: 1 plannings
1:05 pm-2:30 pm: 0 plannings
2:30 pm-3:28 pm: 1 plannings
3:28 pm-3:30 pm: 2 plannings
3:30 pm-3:39 pm: 1 plannings
3:39 pm-4:28 pm: 2 plannings
4:28 pm-4:39 pm: 1 plannings
4:39 pm-6:00 pm: 0 plannings
---Treatment 5, max plannings: 3
10:00 am-10:02 am: 0 plannings
